unit_id,timestamp,period,fail,t2,spe,iso_score,t2_ratio,spe_ratio,iso_ratio,t2_alarm,spe_alarm,iso_alarm,mspc_alarm,n_flags,driver,top_sensors
U0001,2008-07-19 11:55:00,train,0,37.83867857682739,132.8213812360113,0.421179227189357,0.16201326781089084,0.10464529807837292,0.9179075223088691,False,False,False,False,0,T2,"sensor_227, sensor_368, sensor_367"
U0002,2008-07-19 12:32:00,train,0,23.845936986911088,133.12448004244789,0.4086693756208693,0.10210076885792715,0.1048840989751231,0.8906438632383334,False,False,False,False,0,SPE,"sensor_487, sensor_037, sensor_212"
U0003,2008-07-19 13:17:00,train,1,52.28536105563201,238.0490605406019,0.4407934070725573,0.22386939824275123,0.18755048822511408,0.9606541776433556,False,False,False,False,0,T2,"sensor_565, sensor_569, sensor_558"
U0004,2008-07-19 14:43:00,train,0,304.0310420442369,1058.4468362677014,0.4250112964100988,1.301764873673534,0.8339130616668674,0.9262590385676369,True,False,False,True,1,T2,"sensor_551, sensor_550, sensor_133"
U0005,2008-07-19 15:22:00,train,0,74.03431312812579,576.5087783547468,0.42360680157773495,0.316991540168845,0.45421100423983835,0.9231981174954513,False,False,False,False,0,SPE,"sensor_583, sensor_582, sensor_044"
U0006,2008-07-19 17:53:00,train,0,25.630661448338095,162.7905537490325,0.4315410543022132,0.10974239517822096,0.12825695579193538,0.9404898303567409,False,False,False,False,0,SPE,"sensor_219, sensor_171, sensor_485"
U0007,2008-07-19 19:44:00,train,0,17.114407492574834,115.43678047954639,0.4085337490356058,0.07327848616302624,0.09094858214902117,0.890348282034889,False,False,False,False,0,SPE,"sensor_084, sensor_091, sensor_483"
U0008,2008-07-19 19:45:00,train,0,37.60763364444486,131.01065980302607,0.4227160079878863,0.1610240064012875,0.10321869430171936,0.9212567441224028,False,False,False,False,0,T2,"sensor_218, sensor_356, sensor_150"
U0009,2008-07-19 20:24:00,train,0,45.34499371551907,121.20008154124326,0.43973228140225734,0.1941529378675127,0.09548928449607037,0.9583415867746576,False,False,False,False,0,T2,"sensor_164, sensor_163, sensor_159"
U0010,2008-07-19 21:35:00,train,0,32.72915478645658,133.51494341585675,0.43417398019592485,0.14013590112234006,0.10519173134363802,0.9462279635017385,False,False,False,False,0,T2,"sensor_061, sensor_485, sensor_150"
U0011,2008-07-19 21:57:00,train,1,74.30728738591259,287.3409887036588,0.4602032217418338,0.31816032970367236,0.22638586598944593,1.0029554445183715,False,False,True,False,1,T2,"sensor_195, sensor_164, sensor_163"
U0012,2008-07-19 22:52:00,train,1,18.295275949037965,137.4302236275148,0.4136486806285686,0.07833459183801557,0.1082764430142785,0.9014956366102964,False,False,False,False,0,SPE,"sensor_171, sensor_088, sensor_499"
U0013,2008-07-20 03:35:00,train,0,43.49310560417196,104.24451958905402,0.4303888080402369,0.18622373801635236,0.08213059316142478,0.9379786535390277,False,False,False,False,0,T2,"sensor_560, sensor_053, sensor_559"
U0014,2008-07-21 08:21:00,train,0,298.02227782541627,153.04702389177749,0.4250302910970428,1.276037243555064,0.12058037106770172,0.9263004351154822,True,False,False,True,1,T2,"sensor_290, sensor_019, sensor_155"
U0015,2008-07-21 11:53:00,train,1,213.34292872317246,553.6517181961603,0.47795190689144,0.913467022285354,0.4362027298849705,1.0416364870727108,False,False,True,False,1,T2,"sensor_089, sensor_224, sensor_430"
U0016,2008-07-22 00:03:00,train,0,276.33507397871847,574.2702053681251,0.46896243528210424,1.183179488024558,0.45244731126152954,1.0220450564438646,True,False,True,True,2,T2,"sensor_089, sensor_224, sensor_496"
U0017,2008-07-22 02:59:00,train,0,29.660736607458286,121.65407411561854,0.42754286085689014,0.12699790384316711,0.09584696928920207,0.9317762670986507,False,False,False,False,0,T2,"sensor_558, sensor_560, sensor_559"
U0018,2008-07-22 08:41:00,train,0,62.59332590051663,542.2810209321392,0.41533733322983785,0.26800484725450063,0.42724415715007247,0.9051758440498116,False,False,False,False,0,SPE,"sensor_213, sensor_217, sensor_078"
U0019,2008-07-22 11:47:00,train,0,19.454163078845145,99.69287835730336,0.4030766891070136,0.08329658041652338,0.07854451500887187,0.8784553014822345,False,False,False,False,0,T2,"sensor_273, sensor_037, sensor_218"
U0020,2008-07-22 14:00:00,train,0,36.42583559345809,154.41455762449223,0.4182058035335069,0.15596392049622199,0.12165780283177802,0.9114273168178967,False,False,False,False,0,T2,"sensor_510, sensor_053, sensor_055"
