k,model,fold,ber,recall_fail,pr_auc,roc_auc
5,logistic,0,0.4235159817351598,0.5,0.07817488712014954,0.51912100456621
5,random_forest,0,0.42280251141552516,0.4375,0.10588550833950326,0.5998858447488584
10,logistic,0,0.432648401826484,0.5,0.08057873865973916,0.5662100456621004
10,random_forest,0,0.3985445205479452,0.3125,0.13622352143206914,0.6087328767123288
15,logistic,0,0.47916666666666674,0.375,0.09636236702051855,0.6312785388127854
15,random_forest,0,0.43050799086757996,0.3125,0.12371327976507004,0.6088755707762558
20,logistic,0,0.5019977168949772,0.375,0.09996481519491164,0.6329908675799087
20,random_forest,0,0.4143835616438356,0.5,0.1318478817573191,0.603453196347032
30,logistic,0,0.3899828767123288,0.5625,0.10037263573586805,0.6515410958904111
30,random_forest,0,0.39155251141552516,0.5,0.1485169720039147,0.6817922374429224
40,logistic,0,0.44263698630136994,0.375,0.0951306370648247,0.6215753424657534
40,random_forest,0,0.386986301369863,0.5,0.12797799895719764,0.6789383561643836
60,logistic,0,0.4768835616438356,0.375,0.09796644390989886,0.5967465753424658
60,random_forest,0,0.3351883561643836,0.5625,0.1294199002663008,0.6883561643835616
100,logistic,0,0.48530251141552516,0.3125,0.10046076100698957,0.5810502283105023
100,random_forest,0,0.4145262557077626,0.3125,0.12845751552714488,0.694920091324201
272,logistic,0,0.5225456621004566,0.375,0.09543350013545304,0.5019977168949772
272,random_forest,0,0.35117009132420085,0.5625,0.10513913442051583,0.6418378995433791
5,logistic,1,0.32819634703196354,0.75,0.1523580148258885,0.7394406392694064
5,random_forest,1,0.3000856164383562,0.6875,0.1648313120934051,0.766837899543379
10,logistic,1,0.38912671232876717,0.6875,0.13794800595383405,0.6269977168949772
10,random_forest,1,0.27868150684931514,0.8125,0.17852737167873617,0.7518550228310502
15,logistic,1,0.39069634703196354,0.625,0.12442982375394385,0.6190068493150684
15,random_forest,1,0.33290525114155245,0.5625,0.16697112735631506,0.7228881278538813
20,logistic,1,0.42422945205479445,0.5625,0.11161824374648467,0.5836187214611872
20,random_forest,1,0.353453196347032,0.5625,0.16418858505841277,0.721175799086758
30,logistic,1,0.430365296803653,0.5,0.08916155239444819,0.5682077625570776
30,random_forest,1,0.3274828767123288,0.6875,0.1812184447606137,0.7083333333333334
40,logistic,1,0.4547659817351598,0.4375,0.09415624123636653,0.5833333333333334
40,random_forest,1,0.33204908675799083,0.6875,0.13811192871354178,0.7183219178082193
