sensor,score_ttest,rank_ttest,score_mutual_info,rank_mutual_info,score_l1_logistic,rank_l1_logistic,score_random_forest,rank_random_forest,score_shap,rank_shap,mean_rank,consensus_rank,stability,selected
sensor_059,6.204675607964089,2.0,0.023871008152162254,11.0,1.1267457698340897,1.0,0.04744805315069803,1.0,0.030708206574286457,1.0,3.2,1,1.0,True
sensor_129,7.3241128370276325,1.0,0.02495514576087632,9.0,0.5393514890023302,2.0,0.014501059267442338,3.0,0.006528816700023972,7.0,4.4,2,1.0,True
sensor_064,2.1035292472638787,38.0,0.02079450209872724,22.0,0.45781935413015906,4.0,0.010770938454989722,8.0,0.005602605122862463,9.0,16.2,3,0.9333333333333333,True
sensor_033,1.7968049254500813,55.0,0.031146758453985512,4.0,0.19971223383200387,23.0,0.011510290196890833,6.0,0.007682789024798301,5.0,18.6,4,0.9,True
sensor_021,2.700937332173322,17.0,0.010907916232397064,80.0,0.34997832239583043,10.0,0.006768949025857772,21.0,0.004763478935107383,15.0,28.6,5,0.9333333333333333,True
sensor_562,1.6096070090154506,71.0,0.02113090083156033,19.0,0.22489818638832493,16.0,0.00778437739929905,16.0,0.003182892792916239,33.0,31.0,6,0.6333333333333333,True
sensor_247,3.0222668113883357,12.0,0.017208814643695725,43.0,0.021620652715621993,98.0,0.017394870180705915,2.0,0.011166671070229152,2.0,31.4,7,0.6,True
sensor_172,2.1968834221723785,34.0,0.014227934295027778,54.0,0.4082976546689854,7.0,0.0055035156859605866,32.0,0.0026029249296445544,44.0,34.2,8,0.8,True
sensor_155,1.7186183338250578,65.0,0.020919793811198684,20.0,0.20987400009176685,19.0,0.0057050298208863315,30.0,0.002689024474855517,41.0,35.0,9,0.6,True
sensor_000,3.2417378662307588,9.0,0.004658238320759622,127.0,0.2080448196715002,20.0,0.008657558522503927,13.0,0.0053992385695798275,10.0,35.8,10,0.9,True
sensor_175,1.814875301419106,54.0,0.015109923114581258,50.0,0.12742851480732215,43.0,0.006410415873123004,27.0,0.00388771296160285,21.0,39.0,11,0.5,True
sensor_510,2.9455461074353457,15.0,0.013921297944446964,58.0,0.019459354747820075,99.0,0.0072975093173289676,18.0,0.00456319456701099,16.0,41.2,12,0.36666666666666664,True
