rank,sensor,method,lcl,center,ucl,zone_minus2,zone_minus1,zone_plus1,zone_plus2,pass_fail_smd,rule1_count,rule2_count,rule3_count,rule4_count,alarm_rate_baseline,alarm_rate_test_pass,warning_rate_test_pass
1,sensor_059,percentile,-20.635436753623296,1.2236500000000001,63.22180304185835,-9.446341867524763,-2.665903971243558,9.712046882804021,27.32720212616866,0.7273,2,21,117,147,0.0183,0.0,0.0625
2,sensor_103,percentile,-0.018452591134945993,-0.0099,0.0015629556747299375,-0.0146,-0.0126,-0.0063,-0.0031843144087411704,0.5473,3,11,154,367,0.0091,0.0027,0.1087
3,sensor_431,percentile,1.6275226293794405,17.06035,400.0,4.3535256624851675,9.421170715576427,24.68022063416054,122.69491226545843,0.5348,3,24,21,40,0.0146,0.019,0.0489
4,sensor_430,percentile,1.3086066637531588,10.394400000000001,400.0,2.807574841837626,5.617079365839457,21.15305904780549,101.2240642756103,0.5108,2,19,16,27,0.0128,0.0109,0.0272
5,sensor_021,percentile,-6908.1061410457105,-5561.0,-1310.3306970343099,-6564.63410578064,-6367.884711179376,-5313.5,-4598.277733090359,0.4794,3,22,19,80,0.0183,0.0,0.125
6,sensor_129,percentile,-3.779,-0.1419,1.939,-3.732,-2.505,0.2838,1.088,0.4626,6,70,240,447,0.0411,0.0571,0.2283
7,sensor_510,percentile,5.595146844808756,48.5584,396.54326501807367,19.45786108221115,31.371029747541954,77.2573813788471,163.08485290589874,0.4559,3,6,70,164,0.0073,0.0,0.0761
8,sensor_079,percentile,-0.0443219558155297,0.0028,0.09611392693203806,-0.03201135564869196,-0.015029345659695787,0.026543115219898595,0.06881113556486919,0.4487,4,33,123,272,0.0201,0.0272,0.337
9,sensor_028,percentile,59.92588911907888,68.5889,76.9508203524777,61.824368555009364,65.82675313727262,72.6778,75.7807771483302,0.4459,8,19,145,263,0.01,0.0353,0.3533
10,sensor_163,percentile,0.010278946937145227,0.118,0.9520982458057132,0.04386589421935986,0.079,0.1675898074529174,0.4047962654683631,0.4344,2,18,16,17,0.0146,0.0027,0.0299
