unit_id,timestamp,period,fail,sensors_in_alarm,sensors_in_warning,spc_alarm
U0001,2008-07-19 11:55:00,train,0,0,0,False
U0002,2008-07-19 12:32:00,train,0,0,0,False
U0003,2008-07-19 13:17:00,train,1,0,0,False
U0004,2008-07-19 14:43:00,train,0,0,0,False
U0005,2008-07-19 15:22:00,train,0,0,2,False
U0006,2008-07-19 17:53:00,train,0,0,2,False
U0007,2008-07-19 19:44:00,train,0,0,3,False
U0008,2008-07-19 19:45:00,train,0,1,3,True
U0009,2008-07-19 20:24:00,train,0,0,3,False
U0010,2008-07-19 21:35:00,train,0,1,4,True
U0011,2008-07-19 21:57:00,train,1,5,3,True
U0012,2008-07-19 22:52:00,train,1,1,3,True
U0013,2008-07-20 03:35:00,train,0,0,3,False
U0014,2008-07-21 08:21:00,train,0,0,3,False
U0015,2008-07-21 11:53:00,train,1,0,4,False
U0016,2008-07-22 00:03:00,train,0,4,5,True
U0017,2008-07-22 02:59:00,train,0,4,4,True
U0018,2008-07-22 08:41:00,train,0,2,4,True
U0019,2008-07-22 11:47:00,train,0,1,4,True
U0020,2008-07-22 14:00:00,train,0,0,4,False
U0021,2008-07-22 15:30:00,train,0,0,3,False
U0022,2008-07-23 05:15:00,train,0,0,3,False
U0023,2008-07-23 19:22:00,train,0,0,2,False
U0024,2008-07-25 15:23:00,train,1,0,2,False
U0025,2008-07-27 04:18:00,train,0,4,2,True
U0026,2008-07-27 09:37:00,train,0,4,2,True
U0027,2008-07-27 11:10:00,train,0,4,3,True
U0028,2008-07-27 15:46:00,train,0,0,2,False
U0029,2008-07-27 16:06:00,train,0,0,2,False
U0030,2008-07-27 16:49:00,train,0,0,2,False
U0031,2008-07-27 20:24:00,train,0,1,2,True
U0032,2008-07-27 22:28:00,train,0,1,2,True
U0033,2008-07-27 22:28:00,train,0,1,2,True
U0034,2008-07-27 23:14:00,train,0,0,2,False
U0035,2008-07-28 03:31:00,train,0,0,1,False
U0036,2008-07-28 03:48:00,train,0,0,1,False
U0037,2008-07-28 04:37:00,train,0,0,1,False
U0038,2008-07-28 05:36:00,train,0,0,2,False
U0039,2008-07-28 06:45:00,train,1,0,4,False
U0040,2008-07-28 08:36:00,train,0,0,2,False
U0041,2008-07-28 15:11:00,train,1,0,3,False
U0042,2008-07-28 23:57:00,train,0,0,2,False
U0043,2008-07-29 04:08:00,train,0,0,1,False
U0044,2008-07-29 05:16:00,train,0,0,1,False
U0045,2008-07-29 06:19:00,train,0,0,2,False
U0046,2008-07-29 08:23:00,train,1,0,2,False
U0047,2008-07-29 11:47:00,train,0,3,1,True
U0048,2008-07-29 15:41:00,train,0,3,1,True
U0049,2008-07-29 15:49:00,train,1,3,3,True
U0050,2008-07-29 17:05:00,train,1,0,2,False
U0051,2008-07-29 18:08:00,train,1,0,4,False
U0052,2008-07-29 21:07:00,train,0,0,4,False
U0053,2008-07-29 23:14:00,train,0,0,4,False
U0054,2008-07-29 23:19:00,train,0,0,2,False
U0055,2008-07-30 06:30:00,train,0,0,2,False
U0056,2008-07-30 07:08:00,train,0,0,2,False
U0057,2008-07-30 12:02:00,train,0,0,1,False
U0058,2008-07-30 12:29:00,train,1,0,2,False
U0059,2008-07-30 21:16:00,train,1,5,2,True
U0060,2008-07-31 13:57:00,train,0,4,0,True
U0061,2008-07-31 15:36:00,train,0,1,1,True
U0062,2008-07-31 17:07:00,train,0,1,2,True
U0063,2008-07-31 20:18:00,train,1,1,1,True
U0064,2008-08-01 02:02:00,train,0,0,3,False
U0065,2008-08-01 05:52:00,train,1,0,3,False
U0066,2008-08-01 10:20:00,train,0,0,4,False
U0067,2008-08-01 10:26:00,train,0,0,6,False
U0068,2008-08-01 11:28:00,train,0,0,6,False
U0069,2008-08-01 12:29:00,train,0,0,6,False
U0070,2008-08-01 14:07:00,train,0,1,6,True
U0071,2008-08-01 15:10:00,train,0,1,6,True
U0072,2008-08-02 03:39:00,train,0,0,4,False
U0073,2008-08-03 13:09:00,train,0,0,4,False
U0074,2008-08-03 14:06:00,train,0,1,4,True
U0075,2008-08-03 14:25:00,train,0,0,3,False
U0076,2008-08-03 15:03:00,train,0,0,4,False
U0077,2008-08-03 15:27:00,train,0,0,4,False
U0078,2008-08-03 16:00:00,train,0,0,4,False
U0079,2008-08-03 17:00:00,train,0,0,4,False
U0080,2008-08-03 17:58:00,train,0,0,4,False
U0081,2008-08-03 20:23:00,train,0,0,4,False
U0082,2008-08-03 22:52:00,train,0,0,4,False
U0083,2008-08-04 00:39:00,train,1,0,4,False
U0084,2008-08-04 03:45:00,train,0,0,4,False
U0085,2008-08-04 03:49:00,train,0,0,4,False
U0086,2008-08-04 13:19:00,train,0,0,2,False
U0087,2008-08-04 14:04:00,train,0,0,2,False
U0088,2008-08-04 14:31:00,train,0,0,1,False
U0089,2008-08-04 15:29:00,train,0,0,1,False
U0090,2008-08-04 16:15:00,train,0,0,1,False
U0091,2008-08-04 16:31:00,train,0,1,1,True
U0092,2008-08-04 17:11:00,train,0,1,1,True
U0093,2008-08-04 17:46:00,train,0,1,1,True
U0094,2008-08-04 18:24:00,train,0,3,1,True
U0095,2008-08-04 19:58:00,train,0,0,3,False
U0096,2008-08-04 20:32:00,train,0,1,3,True
U0097,2008-08-04 20:58:00,train,1,0,3,False
U0098,2008-08-04 21:43:00,train,0,0,4,False
U0099,2008-08-04 22:51:00,train,0,0,4,False
U0100,2008-08-04 23:33:00,train,0,1,5,True
U0101,2008-08-05 00:04:00,train,0,1,5,True
U0102,2008-08-05 01:12:00,train,0,0,6,False
U0103,2008-08-05 02:15:00,train,0,1,5,True
U0104,2008-08-05 02:36:00,train,0,2,5,True
U0105,2008-08-05 02:45:00,train,0,2,5,True
U0106,2008-08-05 03:17:00,train,0,2,5,True
U0107,2008-08-05 03:36:00,train,0,2,5,True
U0108,2008-08-05 03:54:00,train,0,1,6,True
U0109,2008-08-05 04:32:00,train,0,1,5,True
U0110,2008-08-05 04:35:00,train,0,1,6,True
U0111,2008-08-05 05:11:00,train,0,0,4,False
U0112,2008-08-05 06:10:00,train,0,0,3,False
U0113,2008-08-05 06:11:00,train,0,0,3,False
U0114,2008-08-05 06:21:00,train,0,0,2,False
U0115,2008-08-05 07:12:00,train,0,0,2,False
U0116,2008-08-05 07:12:00,train,1,0,2,False
U0117,2008-08-05 07:48:00,train,0,0,5,False
U0118,2008-08-05 08:50:00,train,0,0,5,False
U0119,2008-08-05 09:48:00,train,0,0,5,False
U0120,2008-08-05 14:17:00,train,0,0,5,False
U0121,2008-08-05 14:45:00,train,0,0,5,False
U0122,2008-08-05 15:45:00,train,0,0,5,False
U0123,2008-08-05 20:04:00,train,0,0,4,False
U0124,2008-08-05 21:07:00,train,0,0,4,False
U0125,2008-08-05 21:22:00,train,0,0,4,False
U0126,2008-08-05 23:02:00,train,0,0,4,False
U0127,2008-08-05 23:06:00,train,0,0,4,False
U0128,2008-08-05 23:38:00,train,0,0,4,False
U0129,2008-08-06 00:04:00,train,0,0,4,False
U0130,2008-08-06 02:20:00,train,0,0,4,False
U0131,2008-08-06 03:22:00,train,0,0,3,False
U0132,2008-08-06 05:40:00,train,1,0,2,False
U0133,2008-08-06 09:56:00,train,0,0,3,False
U0134,2008-08-06 09:57:00,train,0,0,1,False
U0135,2008-08-06 12:33:00,train,0,0,2,False
U0136,2008-08-06 13:35:00,train,0,0,2,False
U0137,2008-08-06 17:35:00,train,0,0,3,False
U0138,2008-08-06 18:00:00,train,0,0,2,False
U0139,2008-08-06 18:34:00,train,0,0,4,False
U0140,2008-08-06 19:13:00,train,0,1,5,True
U0141,2008-08-06 19:24:00,train,0,0,5,False
U0142,2008-08-06 20:00:00,train,0,0,3,False
U0143,2008-08-06 20:17:00,train,0,0,3,False
U0144,2008-08-06 21:15:00,train,0,0,3,False
U0145,2008-08-06 22:27:00,train,0,4,3,True
U0146,2008-08-06 23:40:00,train,0,4,3,True
U0147,2008-08-06 23:45:00,train,0,0,3,False
U0148,2008-08-07 00:51:00,train,0,0,3,False
U0149,2008-08-07 07:30:00,train,0,0,4,False
U0150,2008-08-07 08:21:00,train,0,0,5,False
U0151,2008-08-07 08:45:00,train,0,0,4,False
U0152,2008-08-07 08:55:00,train,0,0,4,False
U0153,2008-08-07 10:12:00,train,0,0,4,False
U0154,2008-08-07 11:10:00,train,0,0,5,False
U0155,2008-08-07 11:40:00,train,1,0,4,False
U0156,2008-08-08 04:55:00,train,0,0,3,False
U0157,2008-08-08 07:26:00,train,0,0,3,False
U0158,2008-08-08 08:44:00,train,1,0,3,False
U0159,2008-08-08 12:37:00,train,1,0,3,False
U0160,2008-08-08 20:21:00,train,0,0,3,False
U0161,2008-08-08 21:22:00,train,0,0,3,False
U0162,2008-08-08 21:53:00,train,0,0,4,False
U0163,2008-08-08 22:06:00,train,0,0,4,False
U0164,2008-08-08 22:25:00,train,0,0,3,False
U0165,2008-08-09 02:15:00,train,0,0,2,False
U0166,2008-08-09 02:37:00,train,0,0,2,False
U0167,2008-08-09 06:05:00,train,0,0,2,False
U0168,2008-08-09 09:16:00,train,1,0,2,False
U0169,2008-08-09 09:22:00,train,0,0,2,False
