unit_id,sensor,value,timestamp,date,status,center_line,ucl,lcl,out_of_control,importance_rank
U0001,sensor_059,-1.7264,2008-07-19 11:55:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0002,sensor_059,0.8073,2008-07-19 12:32:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0003,sensor_059,23.8245,2008-07-19 13:17:00,2008-07-19,Fail,2.5635,30.5028,-25.3759,No,1
U0004,sensor_059,24.3791,2008-07-19 14:43:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0005,sensor_059,-12.2945,2008-07-19 15:22:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0006,sensor_059,28.2955,2008-07-19 17:53:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0007,sensor_059,2.1109,2008-07-19 19:44:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0008,sensor_059,29.1309,2008-07-19 19:45:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0009,sensor_059,26.9791,2008-07-19 20:24:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0010,sensor_059,28.3118,2008-07-19 21:35:00,2008-07-19,Pass,2.5635,30.5028,-25.3759,No,1
U0011,sensor_059,27.8373,2008-07-19 21:57:00,2008-07-19,Fail,2.5635,30.5028,-25.3759,No,1
U0012,sensor_059,25.0836,2008-07-19 22:52:00,2008-07-19,Fail,2.5635,30.5028,-25.3759,No,1
U0013,sensor_059,22.6227,2008-07-20 03:35:00,2008-07-20,Pass,2.5635,30.5028,-25.3759,No,1
U0014,sensor_059,-1.1927,2008-07-21 08:21:00,2008-07-21,Pass,2.5635,30.5028,-25.3759,No,1
U0015,sensor_059,17.6382,2008-07-21 11:53:00,2008-07-21,Fail,2.5635,30.5028,-25.3759,No,1
U0016,sensor_059,20.4209,2008-07-22 00:03:00,2008-07-22,Pass,2.5635,30.5028,-25.3759,No,1
U0017,sensor_059,-8.1182,2008-07-22 02:59:00,2008-07-22,Pass,2.5635,30.5028,-25.3759,No,1
U0018,sensor_059,-5.5327,2008-07-22 08:41:00,2008-07-22,Pass,2.5635,30.5028,-25.3759,No,1
U0019,sensor_059,0.4836,2008-07-22 11:47:00,2008-07-22,Pass,2.5635,30.5028,-25.3759,No,1
U0020,sensor_059,22.4736,2008-07-22 14:00:00,2008-07-22,Pass,2.5635,30.5028,-25.3759,No,1
U0021,sensor_059,3.97,2008-07-22 15:30:00,2008-07-22,Pass,2.5635,30.5028,-25.3759,No,1
U0022,sensor_059,0.12,2008-07-23 05:15:00,2008-07-23,Pass,2.5635,30.5028,-25.3759,No,1
U0023,sensor_059,-3.6564,2008-07-23 19:22:00,2008-07-23,Pass,2.5635,30.5028,-25.3759,No,1
U0024,sensor_059,18.3936,2008-07-25 15:23:00,2008-07-25,Fail,2.5635,30.5028,-25.3759,No,1
U0025,sensor_059,15.3536,2008-07-27 04:18:00,2008-07-27,Pass,2.5635,30.5028,-25.3759,No,1
U0026,sensor_059,2.9964,2008-07-27 09:37:00,2008-07-27,Pass,2.5635,30.5028,-25.3759,No,1
U0027,sensor_059,-6.9155,2008-07-27 11:10:00,2008-07-27,Pass,2.5635,30.5028,-25.3759,No,1
