sensor,missing_pct,is_constant,status,mean,std,pass_mean,fail_mean,importance,importance_rank,is_top_sensor
sensor_000,0.38,No,Kept,3014.4529,73.6218,3014.9473,3007.5262,0.00314,68,No
sensor_001,0.45,No,Kept,2495.8502,80.4077,2495.9061,2495.0597,0.00202,174,No
sensor_002,0.89,No,Kept,2200.5473,29.5132,2200.5549,2200.4419,0.00214,158,No
sensor_003,0.89,No,Kept,1396.3766,441.6916,1399.2903,1355.7814,0.00128,376,No
sensor_004,0.89,No,Kept,4.197,56.3555,4.4047,1.3034,0.00138,358,No
sensor_005,0.89,Yes,Dropped - constant,100.0,0.0,100.0,100.0,,,No
sensor_006,0.89,No,Kept,101.1129,6.2372,101.0858,101.491,0.00186,214,No
sensor_007,0.57,No,Kept,0.1218,0.009,0.1218,0.1223,0.00176,258,No
sensor_008,0.13,No,Kept,1.4629,0.0739,1.4623,1.4706,0.00321,65,No
sensor_009,0.13,No,Kept,-0.0008,0.0151,-0.0007,-0.0026,0.00185,221,No
sensor_010,0.13,No,Kept,0.0001,0.0093,0.0001,0.0013,0.00178,247,No
sensor_011,0.13,No,Kept,0.9644,0.0125,0.9645,0.9628,0.00148,333,No
sensor_012,0.13,No,Kept,199.9568,3.2573,199.962,199.884,0.00173,265,No
sensor_013,0.19,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_014,0.19,No,Kept,9.0054,2.7966,9.0568,8.2828,0.00348,47,No
sensor_015,0.19,No,Kept,413.086,17.2211,413.0993,412.9,0.00326,60,No
sensor_016,0.19,No,Kept,9.9076,2.4039,9.9061,9.9288,0.00411,33,No
sensor_017,0.19,No,Kept,0.9714,0.0121,0.9715,0.971,0.00223,146,No
sensor_018,0.19,No,Kept,190.0474,2.781,190.0539,189.9551,0.00167,283,No
sensor_019,0.64,No,Kept,12.481,0.218,12.4793,12.5061,0.00416,31,No
sensor_020,0.0,No,Kept,1.4051,0.0167,1.405,1.4065,0.00071,429,No
sensor_021,0.13,No,Kept,-5618.3936,626.8222,-5636.4376,-5362.2743,0.00548,18,Yes
sensor_022,0.13,No,Kept,2699.3784,295.4985,2705.1582,2617.3398,0.00195,189,No
sensor_023,0.13,No,Kept,-3806.2997,1380.1621,-3811.0356,-3739.0785,0.00123,385,No
sensor_024,0.13,No,Kept,-298.5981,2902.6901,-284.4415,-499.5396,0.00172,270,No
sensor_025,0.13,No,Kept,1.2038,0.1776,1.2056,1.1794,0.00246,113,No
sensor_026,0.13,No,Kept,1.9385,0.1895,1.9426,1.8803,0.00184,222,No
sensor_027,0.13,No,Kept,6.6386,1.2442,6.6483,6.5011,0.00181,239,No
sensor_028,0.13,No,Kept,69.4995,3.4612,69.598,68.1014,0.00574,14,Yes
sensor_029,0.13,No,Kept,2.3662,0.4087,2.3643,2.3927,0.00198,187,No
sensor_030,0.13,No,Kept,0.1842,0.0329,0.1838,0.1888,0.0019,200,No
sensor_031,0.13,No,Kept,3.6732,0.5353,3.6802,3.5739,0.00604,13,Yes
sensor_032,0.06,No,Kept,85.3375,2.0265,85.3093,85.7335,0.00258,98,No
sensor_033,0.06,No,Kept,8.9603,1.3445,8.9313,9.3682,0.01239,3,Yes
