unit_id,timestamp,date,week_start,month,day_name,hour,shift,status,fail_flag,missing_sensor_count,predicted_fail_prob,risk_level,anomaly_score,is_anomaly,ooc_sensor_count,sensor_059,sensor_103,sensor_033,sensor_130,sensor_247,sensor_519,sensor_477,sensor_129,sensor_205,sensor_152
U0001,2008-07-19 11:55:00,2008-07-19,2008-07-14,2008-07,Saturday,11,Morning (08-16),Pass,0,44,0.1013,Medium,0.4241,No,0,-1.7264,-0.0042,9.5126,0.7243,,,5.8142,-0.0473,8.64,0.4734
U0002,2008-07-19 12:32:00,2008-07-19,2008-07-14,2008-07,Saturday,12,Morning (08-16),Pass,0,36,0.0757,Low,0.4084,No,0,0.8073,-0.0045,9.7997,0.8122,,,5.8042,-0.0946,8.96,0.5666
U0003,2008-07-19 13:17:00,2008-07-19,2008-07-14,2008-07,Saturday,13,Morning (08-16),Fail,1,20,0.1355,Medium,0.4281,No,1,23.8245,-0.0026,8.659,0.8194,0.1729,36.9067,9.1221,-0.1892,13.3,0.4909
U0004,2008-07-19 14:43:00,2008-07-19,2008-07-14,2008-07,Saturday,14,Morning (08-16),Pass,0,20,0.1489,Medium,0.4201,No,0,24.3791,-0.0059,8.6789,0.7244,0.0191,4.12,6.4746,0.2838,9.56,1.3029
U0005,2008-07-19 15:22:00,2008-07-19,2008-07-14,2008-07,Saturday,15,Morning (08-16),Pass,0,40,0.1411,Medium,0.4269,No,0,-12.2945,-0.0045,8.7677,0.778,,,6.1979,-0.5677,9.09,0.4434
U0006,2008-07-19 17:53:00,2008-07-19,2008-07-14,2008-07,Saturday,17,Evening (16-24),Pass,0,24,0.1195,Medium,0.4222,No,0,28.2955,-0.0052,9.6484,0.8122,0.0217,4.6687,8.5143,-0.0946,12.32,0.5564
U0007,2008-07-19 19:44:00,2008-07-19,2008-07-14,2008-07,Saturday,19,Evening (16-24),Pass,0,40,0.1164,Medium,0.4056,No,0,2.1109,-0.0042,9.1502,0.7589,,,8.8016,-0.4731,13.41,0.4136
U0008,2008-07-19 19:45:00,2008-07-19,2008-07-14,2008-07,Saturday,19,Evening (16-24),Pass,0,24,0.1864,High,0.422,No,0,29.1309,-0.0057,8.7289,0.7863,0.0643,13.823,11.8759,0.7096,17.14,1.3097
U0009,2008-07-19 20:24:00,2008-07-19,2008-07-14,2008-07,Saturday,20,Evening (16-24),Pass,0,24,0.2213,High,0.4431,Yes,0,26.9791,-0.0048,9.6234,0.7863,0.0306,6.5964,4.9673,0.7096,7.18,1.3892
U0010,2008-07-19 21:35:00,2008-07-19,2008-07-14,2008-07,Saturday,21,Evening (16-24),Pass,0,24,0.1176,Medium,0.4337,Yes,0,28.3118,-0.0073,8.7289,0.7863,0.0368,7.9931,16.9701,0.7096,24.97,1.2564
U0011,2008-07-19 21:57:00,2008-07-19,2008-07-14,2008-07,Saturday,21,Evening (16-24),Fail,1,20,0.1321,Medium,0.4642,Yes,1,27.8373,-0.0056,8.659,0.778,0.058,12.5838,8.8454,-0.5677,12.79,0.4291
U0012,2008-07-19 22:52:00,2008-07-19,2008-07-14,2008-07,Saturday,22,Evening (16-24),Fail,1,24,0.1396,Medium,0.4224,No,0,25.0836,-0.0059,9.6234,0.8038,0.0458,9.6888,8.3929,-0.5677,12.1,0.4533
U0013,2008-07-20 03:35:00,2008-07-20,2008-07-14,2008-07,Sunday,3,Night (00-08),Pass,0,28,0.1144,Medium,0.4149,No,0,22.6227,-0.0075,8.6789,0.7589,0.0317,6.8582,4.5258,-0.4731,6.45,0.5815
U0014,2008-07-21 08:21:00,2008-07-21,2008-07-21,2008-07,Monday,8,Morning (08-16),Pass,0,32,0.078,Low,0.4204,No,0,-1.1927,-0.0047,8.7977,0.7661,,,4.3639,0.0,6.34,0.3514
U0015,2008-07-21 11:53:00,2008-07-21,2008-07-21,2008-07,Monday,11,Morning (08-16),Fail,1,28,0.2218,High,0.4715,Yes,1,17.6382,-0.0041,9.2007,0.7661,0.1785,39.1058,5.096,0.0,7.65,0.8038
U0016,2008-07-22 00:03:00,2008-07-22,2008-07-21,2008-07,Tuesday,0,Night (00-08),Pass,0,28,0.258,High,0.456,Yes,2,20.4209,-0.0031,9.2007,0.7446,0.0706,15.0519,8.0698,-0.0473,12.13,0.6427
U0017,2008-07-22 02:59:00,2008-07-22,2008-07-21,2008-07,Tuesday,2,Night (00-08),Pass,0,24,0.0931,Low,0.4127,No,0,-8.1182,-0.0071,9.1283,0.7446,,,4.1477,-0.0473,6.23,0.3917
